Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Communication skills,Logical quotient rating,hackathons,Extra-courses did,certifications,workshops,interestedsubjects,interestedcareerarea ,Job/Higher Studies?,interested in games,Management or Technical,Introvert,JobRole
66,84,72,80,89,74,7,6,yes,full stack,system designing,Computer Architecture,testing,higherstudies,yes,Technical,yes,Applications Developer
88,68,77,87,62,90,4,6,yes,information security,database security,cloud computing,testing,job,no,Management,no,Applications Developer
62,76,68,90,65,90,4,5,yes,information security,game development,Management,Business process analyst,job,no,Technical,yes,Applications Developer
83,81,88,61,74,64,4,3,no,information security,hacking,IOT,system developer,higherstudies,yes,Management,yes,Applications Developer
84,71,91,86,72,73,7,0,yes,python,system designing,data engineering,system developer,job,no,Technical,yes,Applications Developer
81,66,63,70,82,73,1,1,yes,hadoop,database security,IOT,cloud computing,higherstudies,no,Management,no,Applications Developer
83,90,72,66,63,88,9,5,no,hadoop,hacking,IOT,developer,higherstudies,no,Management,yes,Applications Developer
89,73,71,77,61,88,3,2,no,hadoop,system designing,data engineering,developer,higherstudies,no,Technical,yes,Applications Developer
92,84,79,76,65,77,2,6,yes,full stack,data science,Management,system developer,job,yes,Technical,yes,Applications Developer
84,77,62,87,68,89,1,6,no,shell programming,system designing,hacking,testing,higherstudies,yes,Management,no,Applications Developer
75,71,76,73,60,82,6,5,yes,hadoop,system designing,data engineering,testing,higherstudies,yes,Management,yes,Applications Developer
89,71,77,84,86,64,1,1,no,information security,testing,data engineering,security,higherstudies,no,Technical,yes,Applications Developer
82,91,83,63,77,90,1,6,yes,information security,database security,hacking,cloud computing,higherstudies,no,Management,yes,Applications Developer
71,61,81,74,84,70,8,6,yes,r programming,data science,cloud computing,security,job,no,Technical,no,Applications Developer
77,80,74,67,60,69,5,4,no,information security,system designing,hacking,cloud computing,job,yes,Management,no,Applications Developer
77,77,67,65,75,62,6,1,yes,full stack,hacking,Software Engineering,system developer,higherstudies,no,Technical,yes,Applications Developer
60,80,84,61,84,67,3,4,yes,python,game development,networks,security,higherstudies,yes,Technical,no,Applications Developer
83,92,94,88,72,65,4,1,no,shell programming,game development,Computer Architecture,testing,higherstudies,yes,Technical,no,Applications Developer
75,90,66,67,72,77,3,4,yes,hadoop,testing,IOT,developer,job,yes,Technical,no,Applications Developer
91,94,63,80,67,60,2,2,yes,hadoop,system designing,programming,testing,higherstudies,yes,Technical,yes,Applications Developer
72,63,60,61,64,81,9,1,yes,shell programming,web technologies,Management,cloud computing,job,yes,Management,yes,Applications Developer
91,71,69,80,67,72,9,1,yes,information security,hacking,Management,security,higherstudies,no,Technical,yes,Applications Developer
63,63,79,76,87,64,3,5,no,python,database security,Computer Architecture,testing,higherstudies,yes,Technical,yes,Applications Developer
60,83,84,61,66,71,7,4,no,full stack,cloud computing,cloud computing,cloud computing,job,no,Technical,no,Applications Developer
67,86,90,79,75,73,1,3,no,hadoop,hacking,data engineering,developer,higherstudies,no,Management,yes,Applications Developer
62,77,74,74,93,69,7,2,yes,shell programming,system designing,programming,system developer,job,no,Technical,no,Applications Developer
83,73,89,62,91,80,2,2,no,shell programming,web technologies,Management,Business process analyst,higherstudies,yes,Management,no,Applications Developer
76,71,90,83,64,74,1,1,no,distro making,game development,Management,system developer,higherstudies,yes,Technical,no,Applications Developer
85,68,60,75,93,86,1,6,no,python,cloud computing,Software Engineering,Business process analyst,higherstudies,no,Management,yes,Applications Developer
82,84,66,93,84,64,2,6,yes,machine learning,system designing,hacking,testing,job,no,Technical,yes,Applications Developer
83,83,64,79,92,61,1,4,no,distro making,web technologies,Computer Architecture,system developer,job,no,Technical,no,Applications Developer
60,70,89,88,83,68,1,6,no,python,hacking,cloud computing,Business process analyst,job,yes,Management,yes,Applications Developer
85,81,73,80,93,61,6,4,yes,hadoop,testing,cloud computing,Business process analyst,job,no,Management,yes,Applications Developer
89,81,64,65,81,65,8,1,yes,information security,game development,networks,developer,job,no,Technical,yes,Applications Developer
91,76,86,79,93,80,7,2,yes,machine learning,data science,Software Engineering,security,higherstudies,no,Management,yes,Applications Developer
93,69,88,78,82,75,3,4,yes,r programming,system designing,Software Engineering,security,job,yes,Management,no,Applications Developer
64,77,91,76,90,94,3,4,no,information security,database security,programming,developer,job,yes,Management,no,Applications Developer
86,64,81,85,64,94,3,4,no,python,hacking,Management,system developer,higherstudies,no,Technical,yes,Applications Developer
77,93,92,78,81,70,1,1,yes,distro making,testing,Computer Architecture,developer,higherstudies,no,Management,no,Applications Developer
74,83,65,62,62,78,7,1,no,r programming,data science,cloud computing,security,higherstudies,yes,Technical,yes,Applications Developer
83,72,70,81,92,75,8,2,yes,hadoop,database security,Software Engineering,developer,higherstudies,yes,Management,no,Applications Developer
70,79,87,65,90,94,7,4,yes,python,hacking,parallel computing,cloud computing,job,yes,Technical,yes,Applications Developer
90,89,69,81,64,80,5,2,no,full stack,database security,cloud computing,security,job,yes,Technical,yes,Applications Developer
77,66,94,79,79,69,1,1,no,python,testing,hacking,developer,higherstudies,yes,Technical,no,Applications Developer
92,75,86,89,82,85,8,3,no,shell programming,database security,IOT,system developer,higherstudies,no,Management,no,Applications Developer
75,91,94,72,68,76,1,6,no,full stack,data science,Computer Architecture,system developer,higherstudies,no,Technical,yes,Applications Developer
74,80,86,85,83,61,7,5,yes,machine learning,cloud computing,hacking,Business process analyst,higherstudies,no,Technical,no,Applications Developer
65,89,62,74,71,80,9,4,no,shell programming,system designing,Management,system developer,job,yes,Management,yes,Applications Developer
75,78,60,83,94,83,4,5,yes,machine learning,hacking,programming,testing,job,no,Management,no,Applications Developer
82,62,92,66,77,92,8,4,no,python,data science,Software Engineering,Business process analyst,job,no,Management,no,Applications Developer
70,70,87,71,73,82,5,3,no,hadoop,game development,data engineering,testing,higherstudies,yes,Management,no,Applications Developer
62,65,68,81,68,84,9,4,yes,shell programming,database security,Computer Architecture,Business process analyst,higherstudies,no,Management,yes,Applications Developer
64,86,94,67,69,81,7,4,yes,information security,system designing,data engineering,security,higherstudies,yes,Technical,yes,Applications Developer
61,87,62,84,90,68,4,0,no,python,web technologies,cloud computing,testing,job,yes,Technical,no,Applications Developer
87,64,68,72,94,83,5,2,no,shell programming,hacking,networks,security,higherstudies,yes,Management,no,Applications Developer
86,77,77,90,75,85,6,2,yes,full stack,data science,networks,Business process analyst,job,no,Management,yes,Applications Developer
94,65,73,65,88,71,2,6,no,full stack,cloud computing,parallel computing,cloud computing,higherstudies,no,Management,no,Applications Developer
73,88,73,81,69,71,6,2,yes,distro making,system designing,data engineering,cloud computing,higherstudies,no,Management,yes,Applications Developer
91,82,68,86,60,81,8,3,no,full stack,database security,programming,cloud computing,job,no,Management,no,Applications Developer
72,63,87,94,64,83,8,2,no,r programming,testing,data engineering,system developer,job,yes,Management,no,Applications Developer
78,90,91,77,60,64,9,1,no,r programming,cloud computing,hacking,Business process analyst,job,no,Technical,no,Applications Developer
64,87,88,87,76,85,5,4,yes,machine learning,game development,Management,Business process analyst,higherstudies,yes,Management,yes,Applications Developer
64,82,93,93,91,66,2,3,no,distro making,data science,cloud computing,system developer,higherstudies,no,Management,no,Applications Developer
64,62,78,81,84,67,9,2,yes,shell programming,hacking,networks,system developer,higherstudies,yes,Management,yes,Applications Developer
65,73,86,74,69,84,4,5,yes,full stack,testing,Software Engineering,developer,higherstudies,no,Technical,yes,Applications Developer
87,81,93,86,79,80,6,4,no,python,system designing,Computer Architecture,security,higherstudies,yes,Technical,yes,Applications Developer
88,67,60,62,60,85,7,1,yes,app development,database security,Management,Business process analyst,higherstudies,yes,Technical,yes,Applications Developer
89,84,62,87,87,82,1,1,yes,python,hacking,hacking,testing,higherstudies,no,Management,no,Applications Developer
74,78,75,81,90,74,7,4,no,app development,game development,Software Engineering,security,higherstudies,no,Management,yes,Applications Developer
70,93,60,61,89,70,3,2,yes,machine learning,game development,Software Engineering,testing,job,yes,Management,yes,Applications Developer
73,77,80,82,76,87,1,6,yes,python,hacking,networks,testing,job,yes,Technical,yes,Applications Developer
